Frequency(Hz),PhaseVelocity(m/s),Wavelength(m)
0.0,0.0,0.0
0.0625,0.12503126463735148,2.0005002341976237
0.125,0.25006252927470296,2.0005002341976237
0.1875,0.37509379391205444,2.0005002341976237
0.25,0.5001250585494059,2.0005002341976237
0.3125,0.6251563231867574,2.0005002341976237
0.375,0.75,2.0
0.4375,3104.096740825765,7095.078264744606
0.5,1278.7811169188485,2557.562233837697
0.5625,734.258322002596,1305.348128004615
0.625,547.6878392164085,876.3005427462537
0.6875,389.2323034748623,566.1560777816179
0.75,283.93083972734,378.5744529697867
0.8125,231.04182555441076,284.3591699131209
0.875,188.4993923402122,215.42787696024251
0.9375,166.1602691899926,177.23762046932544
1.0,150.5488735195067,150.5488735195067
1.0625,2.211833406152914,2.0817255587321544
1.125,2.3401140517102372,2.0801013792979886
1.1875,2.468836250326024,2.0790200002745465
1.25,2.5974246812706365,2.077939745016509
1.3125,2.725171923285898,2.0763214653606843
1.375,2.852720343474224,2.07470570434489
1.4375,2.9792981920806016,2.0725552640560707
1.5,3.1056139155455544,2.0704092770303695
1.5625,3.2299978377298597,2.06719861614711
1.625,3.3531312878693207,2.063465407919582
1.6875,3.475820799870659,2.059745659182613
1.75,3.9932773773684525,2.281872787067687
1.8125,4.131179984389826,2.279271715525421
1.875,4.269984000007262,2.277324800003873
1.9375,4.407297281169484,2.2747340806036047
2.0,4.232857993667103,2.1164289968335517
2.0625,4.36398004728941,2.11586911383729
2.125,4.496221866904241,2.11586911383729
2.1875,4.628463686519072,2.11586911383729
2.25,4.7607055061339025,2.11586911383729
2.3125,4.894242055177588,2.1164289968335517
2.375,5.0291804239872295,2.1175496522051493
2.4375,99.40352999826786,40.78093538390476
2.5,101.4351480937508,40.57405923750032
2.5625,103.97102679609455,40.574059237500315
2.625,107.04995538275001,40.78093538390477
2.6875,111.88055859232941,41.629975290169085
2.75,120.10880184618745,43.675927944068164
2.8125,139.61067786113958,49.639352128405186
2.875,185.25322520927642,64.43590442061789
2.9375,223.4897473803562,76.08161612948295
3.0,247.0444944097818,82.3481648032606
3.0625,263.02336366480233,85.88517997218035
3.125,274.2816548948669,87.77012956635741
3.1875,282.87142292041307,88.7439758181688
3.25,285.2529210906616,87.77012956635741
3.3125,278.5133121864174,84.07949047137129
3.375,199.76799664618002,59.19051752479408
3.4375,156.99437358789496,45.671090498296714
3.5,147.23762256312526,42.06789216089293
3.5625,144.54508603359486,40.57405923750031
3.625,144.87615358503504,39.965835471733804
3.6875,147.3740183020184,39.965835471733804
3.75,153.71224482271998,40.98993195272533
3.8125,174.12103252475623,45.671090498296714
3.875,271.56725502121583,70.08187226353957
3.9375,314.5308887817947,79.88086064299549
4.0,322.7468074260625,80.68670185651563
4.0625,324.5159963621691,79.88086064299547
4.125,323.0556514173055,78.31652155571042
4.1875,321.65140492111,76.81227580205612
4.25,317.3101835952237,74.6612196694644
4.3125,307.6188769908633,71.33191350512773
4.375,298.7549869598219,68.286854162245
4.4375,288.2565918038439,64.9592319557958
4.5,274.4824816445664,60.99610703212587
4.5625,260.42061449548476,57.07849084832542
4.625,244.773303207105,52.923957450184865
4.6875,231.24926700234738,49.33317696050077
4.75,220.71867831434537,46.46709017144113
4.8125,210.19040323082805,43.675927944068164
4.875,198.8070599965357,40.78093538390476
4.9375,10.027959758458037,2.0309791915864377
5.0,10.12404663527538,2.024809327055076
5.0625,10.193823323024722,2.013594730474019
5.125,5751.277030833044,1122.2003962601061
5.1875,862.1083874432729,166.18956866376345
5.25,325.1894669333769,61.94085084445274
5.3125,277.48630442203927,52.23271612650151
5.375,261.9346046371846,48.732019467383175
5.4375,254.141275634481,46.73862540404248
5.5,249.76480768835054,45.41178321606373
5.5625,248.3724821390449,44.65123274409796
5.625,245.67709468538345,43.67592794406817
5.6875,245.72320740256518,43.204080422429044
5.75,244.46194061667316,42.515120107247505
5.8125,244.5196231851901,42.067892160892924
5.875,244.57610482974337,41.629975290169085
5.9375,244.63142266795575,41.20108171249781
6.0,244.6856123034286,40.78093538390477
6.0625,243.50965135088276,40.16654042901159
6.125,243.57364867777434,39.76712631473867
6.1875,242.4428345322081,39.18268032843768
6.25,241.3447774640463,38.61516439424741
6.3125,239.1400024005347,37.88356473671837
6.375,237.01721693491078,37.17917128390757
6.4375,232.84671240861374,36.17036309260019
6.5,227.89317947422404,35.060489149880624
6.5625,221.35176594543987,33.72979290597179
6.625,212.69622995068178,32.10509131331046
6.6875,203.2792810316482,30.396901836508142
6.75,193.41791088906535,28.65450531689857
6.8125,185.88548429750207,27.285942649174615
6.875,180.21331100707016,26.212845237392024
6.9375,176.08087876824644,25.381027570197684
7.0,173.26850070894866,24.752642958421237
7.0625,171.10876232560156,24.227789355837388
7.125,169.54161301066844,23.795314106760483
7.1875,168.02943093158413,23.37800778178562
7.25,167.04922497721282,23.041272410650045
7.3125,166.09685571613446,22.714099926992745
7.375,165.17115395628824,22.396088672039085
7.4375,164.72589904062238,22.148020039075277
7.5,163.84167492905536,21.845556657207382
7.5625,163.42161461656062,21.609469701363388
7.625,163.01053649417688,21.378431015629754
7.6875,162.6081555090068,21.152280391415516
7.75,161.7908034992463,20.87623270958017
7.8125,161.41038004827809,20.660528646179596
7.875,161.03773766408153,20.449236528772257
7.9375,161.08030690298605,20.293581972029738
8.0,160.3148603263663,20.039357540795788
8.0625,159.96418070078713,19.840518536531736
8.125,159.62039188560317,19.6455866936127
8.1875,159.2832927515643,19.45444796965671
8.25,158.95268992142346,19.2669927177483
8.3125,158.25082517645328,19.03769325431017
8.375,157.56546995113248,18.81378745685164
8.4375,156.89604850242657,18.595087229917223
8.5,156.24201155050102,18.381413123588356
8.5625,155.60283477556536,18.172593842401792
8.625,154.9780174160245,17.968465787365158
8.6875,154.02490020028637,17.729484915140876
8.75,153.4324480685123,17.53513692211569
8.8125,152.5220846689233,17.307470600728884
8.875,151.95966942692465,17.1222162734563
8.9375,151.40916654937845,16.940885767762623
9.0,150.87020153357184,16.763355725952426
9.0625,150.03122948544254,16.555170150117796
9.125,149.51852462880748,16.385591740143287
9.1875,149.31901692570645,16.25241000551907
9.25,148.82275736702886,16.0889467423815
9.3125,148.33638095078265,15.928738894043775
9.375,148.1517344942738,15.802851679389205
9.4375,147.96998373000324,15.678938673377827
9.5,147.50415905247272,15.526753584470812
9.5625,147.33054898640236,15.407116233872143
9.625,147.1595938774308,15.289308454798006
9.6875,146.99123328572608,15.17328859723624
9.75,146.8254085921824,15.059016265864862
9.8125,146.38850464677625,14.918573721964458
9.875,146.2299066511339,14.808091812773052
9.9375,146.07364043332007,14.699234257441013
10.0,145.9196549443647,14.59196549443647
10.0625,145.7679006146369,14.486250992758945
10.6875,146.84304707468465,13.739700311081604
11.3125,146.14160227613235,12.91859467634319
11.9375,142.69207778837017,11.953263060805877
12.5625,142.49636038966705,11.342993861864043
13.1875,142.89809221681494,10.83587429132246
13.8125,142.52612713027312,10.318633638390814
14.4375,141.66474514946347,9.812276720309159
15.0625,141.37994444961492,9.386220378397672
15.6875,141.11884705060913,8.99562371637349
16.3125,141.64331963610917,8.683115379991367
16.9375,141.8349550896498,8.374019488687813
17.5625,142.1571358486401,8.094356489602283
18.1875,142.1800160568062,7.817457927521991
18.8125,141.7993534431922,7.537507159771013
19.4375,143.66708444402315,7.391232640206979
20.0625,145.59568873384967,7.25710598050341
20.6875,145.5104388363303,7.033737224716873
21.3125,145.80345660999564,6.84121790545434
21.9375,146.32450673028916,6.670062984856486
22.5625,146.34386879571707,6.486154849671671
23.1875,146.24677579251295,6.307138578652849
23.8125,145.70764304105816,6.118956138207167
24.4375,145.4158003908747,5.950518686071598
25.0625,145.56116655119726,5.807926844935552
25.6875,145.49337400208935,5.663975630251653
26.3125,145.52942504979873,5.530809503080237
26.9375,145.26938020562537,5.392830819698389
27.5625,145.0219943792311,5.261568957069609
28.1875,145.53407062059622,5.163071241528913
28.8125,145.5661278779258,5.052186650860765
29.4375,145.59683713160504,4.945964743324163
30.0625,145.45009887552536,4.838256927252402
30.6875,145.22363987504582,4.732338570266259
31.3125,144.92297383257176,4.628278605431434
31.9375,256.9532664739595,8.045503451239437
32.5625,250.87787029868258,7.704502734700425
33.1875,196.45970815260392,5.919689887837406
33.8125,193.5693219538267,5.724785861850697
34.4375,190.73103406711078,5.538469228809024
35.0625,188.19788239842052,5.367497537209855
35.6875,187.03401182839985,5.240882993440276
36.3125,185.92378520996152,5.120104239861247
36.9375,217.2116755804391,5.880519135849451
37.5625,395.2422701260765,10.522256775403035
38.1875,180.28949060376183,4.721165056726988
38.8125,178.70437995481586,4.604299644568525
39.4375,176.10762013362827,4.465486405924013
40.0625,326.5937823309296,8.152106891255654
40.6875,208.72508904472207,5.129956105553845
41.3125,206.50100378655515,4.9985114381011835
41.9375,203.7672315780402,4.858831155363105
42.5625,201.18209301177657,4.7267452102620044
43.1875,274.3365355165984,6.35222079343788
43.8125,268.08676580520154,6.118956138207167
44.4375,265.2154309981769,5.968279741168537
45.0625,263.2489678458837,5.84186336412502
45.6875,259.1399072120124,5.672008912985224
46.3125,138.3127554605919,2.986510239365007
46.9375,135.6216802049394,2.8894099644194813
47.5625,183.05759457026662,3.848779912121243
48.1875,180.51190383790512,3.746031726856656
48.8125,178.66913427536124,3.6603151708140587
49.4375,176.3564950499608,3.5672615939309393
50.0625,297.45524191300467,5.941677741083739
50.6875,288.7284726634424,5.696246069808975
51.3125,277.8436495166211,5.4147361659755635
51.9375,263.0626098961884,5.064984065389909
52.5625,257.74092432649957,4.90351342357193
53.1875,253.19936596413706,4.760505118009627
53.8125,249.20344678934444,4.630958360777597
54.4375,204.5953666181471,3.7583534625606814
55.0625,203.59592071626315,3.6975422604542683
55.6875,203.92712613018045,3.661991041619402
56.3125,202.96344085713517,3.6042342438558963
56.9375,201.22625078208347,3.5341602771825857
57.5625,200.33682674514904,3.480335752358724
58.1875,199.64522737817506,3.4310672803982825
58.8125,175.31682111510153,2.9809448861228742
59.4375,174.19350793899153,2.9307004490261455
60.0625,172.92050192027526,2.879009397215821
60.6875,521.8576828883174,8.599096731424385
61.3125,169.85499231126164,2.7703158786750115
61.9375,194.10939828750512,3.13395597638757
62.5625,191.19849602470677,3.0561198165787298
63.1875,190.56012612327442,3.0157883461645802
63.8125,190.86175213287422,2.9909775064897035
64.4375,191.4424815746241,2.970979345483982
65.0625,190.8185364667889,2.932849743966016
65.6875,188.77517721055372,2.8738371411692287
66.3125,188.2713139641656,2.8391527082249293
66.9375,187.97726052989867,2.8082503907361147
67.5625,240.47684206205125,3.559324211834246
68.1875,238.76996082009742,3.501667619726452
68.8125,392.5320444423308,5.704371218053853
69.4375,366.31409820095763,5.2754505591497045
70.0625,357.81108837388365,5.1070271311169835
70.6875,356.00208047450127,5.036280537216641
71.3125,353.8030352628861,4.9613046136776315
71.9375,304.73286462343367,4.236078048631572
72.5625,305.439193482263,4.20932566383825
73.1875,304.5439597795762,4.161147187423757
73.8125,276.24520455773256,3.742526056666995
74.4375,18531.596090962285,248.9551112135991
75.0625,628.5748378696288,8.37401948868781
75.6875,612.0222309092766,8.08617315817376
76.3125,595.4058640872587,7.802206245205683
76.9375,575.5775901525699,7.481105964615043
77.5625,4590.964515516841,59.19051752479408
78.1875,3881.1768445396806,49.639352128405186
78.8125,3986.4239464402453,50.58111272247734
79.4375,4958.828978251891,62.42428296776575
80.0625,194.6308457561716,2.430986363855383
80.6875,254.8683742697574,3.1587095184478065
81.3125,3023.131365022735,37.17917128390758
81.9375,2911.050755702292,35.52769801009662
82.5625,2832.5979223127833,34.308528960639315
83.1875,606.4517820499011,7.290179198195656
83.8125,542.3015211260765,6.470413376597483
84.4375,545.4629941749773,6.459961441006393
85.0625,546.4112250623903,6.423644085964911
85.6875,342.65341095667424,3.9988727755702316
86.3125,345.1527064414056,3.9988727755702316
86.9375,349.5745395276975,4.020986795430021
87.5625,352.2647514019752,4.023009295097505
88.1875,355.6736263089298,4.03315238904527
88.8125,790.0382837944154,8.895575327734445
89.4375,235.30063889209598,2.6308946347124635
90.0625,235.93605321532198,2.619692471509474
90.6875,237.72908926252572,2.6214096679534196
91.3125,210.16226463641135,2.301571686641055
91.9375,211.96671923654642,2.3055523506354474
92.5625,213.22330017104022,2.3035602989443915
93.1875,190.42235814685415,2.0434324147214395
93.8125,288.35493945578565,3.073736862953078
94.4375,334.64447013910245,3.5435549452188213
95.0625,336.56097134169994,3.5404178444886254
95.6875,1936.9276527171294,20.24222236673682
96.3125,1540.271649471334,15.9924376324084
96.9375,202.37667522037577,2.087702645729215
97.5625,205.50528144057742,2.106396222324945
98.1875,362.2151818169368,3.689015219013997
98.8125,366.040266966479,3.7043923285665175
99.4375,368.1849872621095,3.702677433182748
